Series,Test Statistic,p-value,CV 1%,CV 5%,CV 10%
Real GDP (Level),-0.7989,0.8194,-3.5685,-2.9214,-2.5987
Real GDP (1st Diff),-7.2780,0.0000,-3.5715,-2.9226,-2.5993
Nighttime light index (Level),-2.0542,0.2633,-3.5685,-2.9214,-2.5987
Nighttime light index (1st Diff),-9.5671,0.0000,-3.5715,-2.9226,-2.5993
OLS Residuals,-3.4638,0.0090,-3.5685,-2.9214,-2.5987
