Lag,AIC,BIC,FPE,HQIC
0,-11.9859,-11.6411*,0.0000,-11.8632
1,-11.9482,-11.4311,0.0000,-11.7642
2,-12.0952,-11.4057,0.0000,-11.8499
3,-12.4792*,-11.6173,0.0000*,-12.1725*
4,-12.4075,-11.3732,0.0000,-12.0395
5,-12.2395,-11.0328,0.0000,-11.8102
6,-12.1431,-10.7641,0.0000,-11.6524
7,-12.1789,-10.6275,0.0000,-11.6269
8,-12.2522,-10.5284,0.0000,-11.6389
9,-12.4558,-10.5596,0.0000,-11.7811
10,-12.4272,-10.3586,0.0000,-11.6912
11,-12.3130,-10.0721,0.0000,-11.5157
12,-12.4438,-10.0305,0.0000,-11.5852
