		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	LABELS	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb
																																																																
2015.year	year = 2015	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.141***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***	0.146***
		(0.0132)	(0.0132)	(0.0132)	(0.0132)	(0.0132)	(0.0132)	(0.0132)	(0.0132)	(0.0132)	(0.0132)	(0.0132)	(0.0132)	(0.0132)	(0.0132)	(0.0132)	(0.0132)	(0.0132)	(0.0132)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)	(0.0115)
2016.year	year = 2016	0.201***	0.201***	0.201***	0.201***	0.201***	0.201***	0.201***	0.201***	0.201***	0.201***	0.201***	0.201***	0.201***	0.201***	0.201***	0.201***	0.201***	0.201***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***	0.204***
		(0.0133)	(0.0133)	(0.0133)	(0.0133)	(0.0133)	(0.0133)	(0.0133)	(0.0133)	(0.0133)	(0.0133)	(0.0133)	(0.0133)	(0.0133)	(0.0133)	(0.0133)	(0.0133)	(0.0133)	(0.0133)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)	(0.0124)
2017.year	year = 2017	0.248***	0.248***	0.248***	0.248***	0.248***	0.248***	0.248***	0.248***	0.248***	0.248***	0.248***	0.248***	0.248***	0.248***	0.248***	0.248***	0.248***	0.248***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***	0.251***
		(0.0145)	(0.0145)	(0.0145)	(0.0145)	(0.0145)	(0.0145)	(0.0145)	(0.0145)	(0.0145)	(0.0145)	(0.0145)	(0.0145)	(0.0145)	(0.0145)	(0.0145)	(0.0145)	(0.0145)	(0.0145)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)	(0.0134)
2018.year	year = 2018	0.296***	0.296***	0.296***	0.296***	0.296***	0.296***	0.296***	0.296***	0.296***	0.296***	0.296***	0.296***	0.296***	0.296***	0.296***	0.296***	0.296***	0.296***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***	0.300***
		(0.0168)	(0.0168)	(0.0168)	(0.0168)	(0.0168)	(0.0168)	(0.0168)	(0.0168)	(0.0168)	(0.0168)	(0.0168)	(0.0168)	(0.0168)	(0.0168)	(0.0168)	(0.0168)	(0.0168)	(0.0168)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)	(0.0155)
2019.year	year = 2019	0.335***	0.335***	0.335***	0.335***	0.335***	0.335***	0.335***	0.335***	0.335***	0.335***	0.335***	0.335***	0.335***	0.335***	0.335***	0.335***	0.335***	0.335***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***	0.340***
		(0.0188)	(0.0188)	(0.0188)	(0.0188)	(0.0188)	(0.0188)	(0.0188)	(0.0188)	(0.0188)	(0.0188)	(0.0188)	(0.0188)	(0.0188)	(0.0188)	(0.0188)	(0.0188)	(0.0188)	(0.0188)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)	(0.0174)
