Date,NTL_Radiance
2012-01-01,0.06863468792417178
2012-02-01,0.10562270855214909
2012-03-01,0.1277296353534861
2012-04-01,0.16543034018915262
2012-05-01,0.21763026624587958
2012-06-01,0.186248087424879
2012-07-01,0.1952600804772345
2012-08-01,0.20147324504564232
2012-09-01,0.20806553145063436
2012-10-01,0.21083537035235944
2012-11-01,0.19031178576402305
2012-12-01,0.14407490701442743
2013-01-01,0.17023671132191043
2013-02-01,0.16957015733695807
2013-03-01,0.20349112962143623
2013-04-01,0.22511828075396112
2013-05-01,0.2344814392029621
2013-06-01,0.2452979009074687
2013-07-01,0.20892932308277115
2013-08-01,0.22133445966211066
2013-09-01,0.21227269631706394
2013-10-01,0.20482724068256847
2013-11-01,0.20366647406419205
2013-12-01,0.12368734348436533
2014-01-01,0.131839273017145
2014-02-01,0.21598303348703257
2014-03-01,0.2477942969480126
2014-04-01,0.25653574028886234
2014-05-01,0.21196960824078423
2014-06-01,0.21816142452911355
2014-07-01,0.20426446682144406
2014-08-01,0.2051225473362928
2014-09-01,0.21752541848102025
2014-10-01,0.22631038794285294
2014-11-01,0.2638807156261392
2014-12-01,0.19138426489633464
2015-01-01,0.19732731327018627
2015-02-01,0.2026428601712352
2015-03-01,0.22434872916753526
2015-04-01,0.2393529526212606
2015-05-01,0.23186694714758538
2015-06-01,0.29066716920120245
2015-07-01,0.2481635197230207
2015-08-01,0.27542595423165417
2015-09-01,0.3114622098417335
2015-10-01,0.26273748544161346
2015-11-01,0.23605717335411738
2015-12-01,0.2272233558462936
2016-01-01,0.19899658631046463
2016-02-01,0.25644619413571007
2016-03-01,0.22621436485843663
2016-04-01,0.28485407972416216
2016-05-01,0.21140549170813222
2016-06-01,0.21984460059974414
2016-07-01,0.2233227086419235
2016-08-01,0.23105626487394904
2016-09-01,0.22003232903993564
2016-10-01,0.23392706481435227
2016-11-01,0.15771906838735952
2016-12-01,0.14137118470484764
2017-01-01,0.13027143217011883
2017-02-01,0.23957654359050548
2017-03-01,0.2699535743613596
2017-04-01,0.2827868408271129
2017-05-01,0.23886945348000155
2017-06-01,0.23078534085710647
2017-07-01,0.2227125517679594
2017-08-01,0.2347592060995155
2017-09-01,0.24649818532592238
2017-10-01,0.2526574616667937
2017-11-01,0.19638715725209924
2017-12-01,0.23545612772541394
2018-01-01,0.14248956113712608
2018-02-01,0.22880881008713158
2018-03-01,0.26734091263027954
2018-04-01,0.2870511880097011
2018-05-01,0.2724435918104803
2018-06-01,0.2669801104962356
2018-07-01,0.27835209162727625
2018-08-01,0.2644052100023295
2018-09-01,0.2941979254093288
2018-10-01,0.24878321906458528
2018-11-01,0.27124585094879966
2018-12-01,0.20002925203947253
2019-01-01,0.24222234662242098
2019-02-01,0.2573685832022113
2019-03-01,0.30599323674082113
2019-04-01,0.29655243967862804
2019-05-01,0.26153003875101255
2019-06-01,0.2868545372880549
2019-07-01,0.2648883909206899
2019-08-01,0.28202668027314143
2019-09-01,0.31485533947291877
2019-10-01,0.29485757248227906
2019-11-01,0.2871190718961176
2019-12-01,0.27917512580462084
2020-01-01,0.2574434079793053
2020-02-01,0.254070870677688
2020-03-01,0.29227566261752796
2020-04-01,0.2609466175267019
2020-05-01,0.2437180612650462
2020-06-01,0.24316680537944818
2020-07-01,0.23026681114066194
2020-08-01,0.23373591293669085
2020-09-01,0.26913472571873526
2020-10-01,0.2787356256655186
2020-11-01,0.25531068002203994
2020-12-01,0.18836279331732828
2021-01-01,0.11982294912840234
2021-02-01,0.23707298803810875
2021-03-01,0.27691634406323573
2021-04-01,0.27418714060714644
2021-05-01,0.2960551928381457
2021-06-01,0.26087848369817923
2021-07-01,0.25365398723238153
2021-08-01,0.2821809979160249
2021-09-01,0.30019441097989447
2021-10-01,0.3205013568443101
2021-11-01,0.2677167203011949
2021-12-01,0.28190263244106456
2022-01-01,0.2946837063785225
2022-02-01,0.32835385463642436
2022-03-01,0.3018014893800969
2022-04-01,0.3198063795215345
2022-05-01,0.32399574699407996
2022-06-01,0.3182469905274389
2022-07-01,0.33769399600680383
2022-08-01,0.36890499201377464
2022-09-01,0.35829749701837493
2022-10-01,0.34583366623102363
2022-11-01,0.2245535902782734
2022-12-01,0.24963725416483598
2023-01-01,0.4223628987078184
2023-02-01,0.3149253799697237
2023-03-01,0.39290085529553964
2023-04-01,0.42691234459981564
2023-05-01,0.35324634626637874
2023-06-01,0.3661498968480179
2023-07-01,0.3623374055860794
2023-08-01,0.39983378352904464
2023-09-01,0.426240174882952
2023-10-01,0.39382726661938505
2023-11-01,0.3995568791302343
2023-12-01,0.37620444565083383
2024-01-01,0.40571064042976557
2024-02-01,0.36643548968146245
2024-03-01,0.41819004238868535
2024-04-01,0.4255799510070701
2024-05-01,0.3805175015332862
2024-06-01,0.3393179321260032
2024-07-01,0.37282231813588906
2024-08-01,0.3180233106530148
2024-09-01,0.2889658412251207
2024-10-01,0.35895581249501457
2024-11-01,0.37470909466005037
2024-12-01,0.3056308931861322
